LPO DATE,CUSTOMER,BRANCH,Invoice no,Value,Week
01/08/2022,Carrefour,SARIT,133989," 21,688.20 ",32
01/08/2022,Carrefour,SARIT,133990," 118,080.00 ",32
01/08/2022,Carrefour,TWO RIVERS,133993," 138,020.47 ",32
01/08/2022,Cleanshelf  ,KIAMBU,133997," 5,764.69 ",32
01/08/2022,Onn The Way ,GIGIRI,134004," 12,876.72 ",32
01/08/2022,Chandarana  ,WESTEND,134006," 33,505.34 ",32
01/08/2022,Chandarana  ,HIGHRIDGE,134018," 33,122.85 ",32
01/08/2022,Carrefour,TWO RIVERS,134025," 2,412.00 ",32
01/08/2022,Carrefour, TWO RIVERS,134031," 14,458.80 ",32
02/08/2022,Carrefour,SARIT,134038," 307,631.75 ",32
02/08/2022,Carrefour,WESTGATE,134040," 82,242.94 ",32
02/08/2022,Carrefour,TRM,134048," 92,189.96 ",32
02/08/2022,Carrefour,WESTGATE,134050," 276,330.88 ",32
02/08/2022,Carrefour,GARDEN CITY,134055, 493.44 ,32
02/08/2022,Carrefour,GARDEN CITY,134058," 40,903.99 ",32
02/08/2022,Carrefour,VILLAGE,134060," 78,050.96 ",32
02/08/2022,Carrefour,WESTGATE,134061," 9,593.28 ",32
02/08/2022,Quickmart,EMBAKASSI,134065," 18,195.87 ",32
02/08/2022,Quickmart,PIPELINE,134066," 11,948.88 ",32
02/08/2022,Quickmart,RUAI,134067," 43,660.70 ",32
02/08/2022,Quickmart,WAIYAKI,134068," 21,305.59 ",32
02/08/2022,Quickmart,EASTERN BY PASS 1,134070," 58,983.12 ",32
02/08/2022,Quickmart,EASTERN BY PASS 2,134074," 24,499.38 ",32
02/08/2022,Quickmart,WESTLANDS,134076," 49,448.29 ",32
02/08/2022,Quickmart,CHANIA,134079," 100,959.37 ",32
02/08/2022,Powerstar, JAMBO,134086," 22,511.71 ",32
02/08/2022,Chandarana  ,RIDGEWAYS,134091," 119,195.63 ",32
02/08/2022,Cleanshelf  ,KMALL,134094," 11,054.61 ",32
02/08/2022,Powerstar,HYPER,134096," 21,939.01 ",32
02/08/2022,Quickmart,KIAMBU,134098," 187,643.67 ",32
02/08/2022,Quickmart,RUAKA,134099," 61,484.65 ",32
02/08/2022,Quickmart,FEDHA,134100," 107,510.84 ",32
02/08/2022,Quickmart,KISII,134101," 49,110.82 ",32
02/08/2022,Quickmart,OGINGA ODINGA,134102," 14,578.98 ",32
02/08/2022,Quickmart,KAHAWA WEST,134103," 48,544.17 ",32
02/08/2022,Naivas,UTAWALA,134110," 11,786.80 ",32
02/08/2022,Naivas,KASARANI,134116," 28,377.20 ",32
02/08/2022,Naivas,GITHURAI,134117," 5,396.12 ",32
02/08/2022,Quickmart,KONDELE,134120," 6,342.75 ",32
02/08/2022,Leestar,RUIRU,134125," 18,697.21 ",32
02/08/2022,Quickmart,RUIRU,134126," 97,217.67 ",32
02/08/2022,Naivas,BURUBURU,134131," 51,051.80 ",32
03/08/2022,Kassmatt,GITHURAI,134141," 11,200.85 ",32
03/08/2022,Quickmart,KITALE,134143," 19,261.02 ",32
03/08/2022,Carrefour,SOUTHFILED,134144," 24,178.32 ",32
03/08/2022,Quickmart,UTAWALA EXPRESS,134147," 5,056.56 ",32
03/08/2022,Chandarana  ,RIVERSIDE,134148," 17,582.82 ",32
03/08/2022,Quickmart,DONHOLM,134150," 38,583.61 ",32
03/08/2022,Chandarana  ,NEW MUTHAIGA,134158," 28,374.81 ",32
03/08/2022,Carrefour,SARIT,134160," 398,536.83 ",32
03/08/2022,Carrefour,WESTGATE,134164," 2,412.00 ",32
03/08/2022,Carrefour,TWO RIVERS,134165," 1,102.50 ",32
03/08/2022,Quickmart,JIPANGE,134169," 62,502.73 ",32
04/08/2022,Carrefour,TRM,134198," 14,083.92 ",32
04/08/2022,Carrefour,TRM,134199," 403,267.50 ",32
04/08/2022,Kassmatt,THIKA,134202," 14,407.97 ",32
04/08/2022,Chandarana  ,ROSELYN,134205," 40,122.50 ",32
04/08/2022,Carrefour,VILLAGE,134206," 102,683.67 ",32
04/08/2022,Carrefour,TWO RIVERS,134211," 900,522.67 ",32
04/08/2022,Powerstar,EXPRESS,134217," 5,561.23 ",32
04/08/2022,Quickmart, KAKAMEGA,134218," 10,129.14 ",32
04/08/2022,Chandarana  ,MOBIL,134229," 52,134.32 ",32
